"forest","acc.ff","size","acc.sf","moa.sf","md.sf","acc.ratio"
1,0.739130434782609,3,0.71739,0.77016,0.26667,0.970587041521789
1,0.739130434782609,5,0.76087,0.77668,0.3,1.02941295847821
1,0.739130434782609,7,0.76087,0.77254,0.25714,1.02941295847821
1,0.739130434782609,11,0.80435,0.78133,0.28727,1.08823887543463
1,0.739130434782609,13,0.80435,0.78296,0.27949,1.08823887543463
1,0.739130434782609,17,0.80435,0.78726,0.25,1.08823887543463
1,0.739130434782609,3,0.69565,0.80784,0.26667,0.941174083043578
1,0.739130434782609,5,0.71739,0.80187,0.22,0.970587041521789
1,0.739130434782609,7,0.69565,0.81037,0.21905,0.941174083043578
1,0.739130434782609,11,0.67391,0.79824,0.22182,0.911761124565368
1,0.739130434782609,13,0.69565,0.7987,0.21282,0.941174083043578
1,0.739130434782609,17,0.71739,0.79505,0.23676,0.970587041521789
1,0.739130434782609,3,0.73913,0.79422,0.2,1
1,0.739130434782609,5,0.76087,0.78702,0.2,1.02941295847821
1,0.739130434782609,7,0.80435,0.7946,0.21905,1.08823887543463
1,0.739130434782609,11,0.76087,0.78742,0.22545,1.02941295847821
1,0.739130434782609,13,0.76087,0.77959,0.24872,1.02941295847821
1,0.739130434782609,17,0.82609,0.78612,0.25882,1.11765183391284
1,0.739130434782609,3,0.76087,0.81664,0.33333,1.02941295847821
1,0.739130434782609,5,0.78261,0.79554,0.28,1.05882591695642
1,0.739130434782609,7,0.80435,0.79435,0.29524,1.08823887543463
1,0.739130434782609,11,0.76087,0.79844,0.29455,1.02941295847821
1,0.739130434782609,13,0.73913,0.8056,0.27436,1
1,0.739130434782609,17,0.73913,0.8094,0.27941,1
1,0.739130434782609,3,0.69565,0.7795,0.2,0.941174083043578
1,0.739130434782609,5,0.73913,0.7716,0.3,1
1,0.739130434782609,7,0.78261,0.7844,0.27619,1.05882591695642
1,0.739130434782609,11,0.73913,0.76618,0.28727,1
1,0.739130434782609,13,0.73913,0.77508,0.28205,1
1,0.739130434782609,17,0.73913,0.77515,0.28971,1
1,0.739130434782609,3,0.76087,0.81348,0.26667,1.02941295847821
1,0.739130434782609,5,0.80435,0.78429,0.2,1.08823887543463
1,0.739130434782609,7,0.78261,0.77932,0.22857,1.05882591695642
1,0.739130434782609,11,0.80435,0.78487,0.21455,1.08823887543463
1,0.739130434782609,13,0.84783,0.7797,0.24103,1.14706479239105
1,0.739130434782609,17,0.78261,0.78129,0.24118,1.05882591695642
1,0.739130434782609,3,0.71739,0.80878,0.26667,0.970587041521789
1,0.739130434782609,5,0.73913,0.79713,0.24,1
1,0.739130434782609,7,0.73913,0.79016,0.21905,1
1,0.739130434782609,11,0.76087,0.79384,0.26182,1.02941295847821
1,0.739130434782609,13,0.73913,0.79286,0.25641,1
1,0.739130434782609,17,0.73913,0.79616,0.25588,1
1,0.739130434782609,3,0.67391,0.74754,0.13333,0.911761124565368
1,0.739130434782609,5,0.73913,0.75486,0.18,1
1,0.739130434782609,7,0.73913,0.7719,0.1619,1
1,0.739130434782609,11,0.73913,0.78935,0.21091,1
1,0.739130434782609,13,0.73913,0.78528,0.21538,1
1,0.739130434782609,17,0.76087,0.78145,0.17353,1.02941295847821
1,0.739130434782609,3,0.73913,0.80023,0.2,1
1,0.739130434782609,5,0.82609,0.79484,0.24,1.11765183391284
1,0.739130434782609,7,0.80435,0.80524,0.26667,1.08823887543463
1,0.739130434782609,11,0.78261,0.79769,0.25091,1.05882591695642
1,0.739130434782609,13,0.82609,0.80554,0.24103,1.11765183391284
1,0.739130434782609,17,0.76087,0.79981,0.23824,1.02941295847821
1,0.739130434782609,3,0.65217,0.77397,0.06667,0.882348166087157
1,0.739130434782609,5,0.71739,0.79399,0.2,0.970587041521789
1,0.739130434782609,7,0.73913,0.78989,0.2381,1
1,0.739130434782609,11,0.69565,0.79568,0.26545,0.941174083043578
1,0.739130434782609,13,0.69565,0.7951,0.27949,0.941174083043578
1,0.739130434782609,17,0.71739,0.78945,0.28088,0.970587041521789
2,0.804347826086957,3,0.76087,0.80404,0.13333,0.945943929881271
2,0.804347826086957,5,0.78261,0.81928,0.16,0.972971964940635
2,0.804347826086957,7,0.78261,0.8234,0.1619,0.972971964940635
2,0.804347826086957,11,0.78261,0.82236,0.21455,0.972971964940635
2,0.804347826086957,13,0.78261,0.81248,0.19744,0.972971964940635
2,0.804347826086957,17,0.80435,0.8119,0.20441,1
2,0.804347826086957,3,0.71739,0.82004,0.13333,0.891887859762541
2,0.804347826086957,5,0.78261,0.82359,0.12,0.972971964940635
2,0.804347826086957,7,0.80435,0.81579,0.13333,1
2,0.804347826086957,11,0.80435,0.81212,0.16727,1
2,0.804347826086957,13,0.82609,0.81282,0.18462,1.02702803505936
2,0.804347826086957,17,0.84783,0.82003,0.18676,1.05405607011873
2,0.804347826086957,3,0.78261,0.8255,0.06667,0.972971964940635
2,0.804347826086957,5,0.78261,0.81423,0.08,0.972971964940635
2,0.804347826086957,7,0.80435,0.82178,0.19048,1
2,0.804347826086957,11,0.82609,0.81829,0.16727,1.02702803505936
2,0.804347826086957,13,0.80435,0.81681,0.19744,1
2,0.804347826086957,17,0.84783,0.81909,0.18382,1.05405607011873
2,0.804347826086957,3,0.78261,0.84118,0.33333,0.972971964940635
2,0.804347826086957,5,0.82609,0.82858,0.28,1.02702803505936
2,0.804347826086957,7,0.80435,0.82731,0.29524,1
2,0.804347826086957,11,0.78261,0.82347,0.26909,0.972971964940635
2,0.804347826086957,13,0.78261,0.82499,0.24872,0.972971964940635
2,0.804347826086957,17,0.78261,0.82839,0.22206,0.972971964940635
2,0.804347826086957,3,0.73913,0.80223,0.4,0.918915894821906
2,0.804347826086957,5,0.78261,0.80846,0.28,0.972971964940635
2,0.804347826086957,7,0.78261,0.80209,0.25714,0.972971964940635
2,0.804347826086957,11,0.8913,0.80682,0.21818,1.10809970783863
2,0.804347826086957,13,0.8913,0.80749,0.20769,1.10809970783863
2,0.804347826086957,17,0.84783,0.80282,0.20147,1.05405607011873
2,0.804347826086957,3,0.78261,0.7975,0.26667,0.972971964940635
2,0.804347826086957,5,0.80435,0.807,0.24,1
2,0.804347826086957,7,0.80435,0.80962,0.27619,1
2,0.804347826086957,11,0.80435,0.80602,0.25091,1
2,0.804347826086957,13,0.78261,0.8061,0.24615,0.972971964940635
2,0.804347826086957,17,0.80435,0.80892,0.23971,1
2,0.804347826086957,3,0.69565,0.78905,0.2,0.864859824703176
2,0.804347826086957,5,0.78261,0.78991,0.12,0.972971964940635
2,0.804347826086957,7,0.80435,0.79489,0.15238,1
2,0.804347826086957,11,0.78261,0.78636,0.18182,0.972971964940635
2,0.804347826086957,13,0.78261,0.79073,0.18462,0.972971964940635
2,0.804347826086957,17,0.78261,0.7961,0.19118,0.972971964940635
2,0.804347826086957,3,0.76087,0.79577,0.2,0.945943929881271
2,0.804347826086957,5,0.73913,0.80816,0.26,0.918915894821906
2,0.804347826086957,7,0.78261,0.80615,0.26667,0.972971964940635
2,0.804347826086957,11,0.80435,0.81395,0.26545,1
2,0.804347826086957,13,0.80435,0.81874,0.25897,1
2,0.804347826086957,17,0.78261,0.81983,0.24853,0.972971964940635
2,0.804347826086957,3,0.76087,0.80842,0.13333,0.945943929881271
2,0.804347826086957,5,0.78261,0.82458,0.16,0.972971964940635
2,0.804347826086957,7,0.80435,0.81798,0.20952,1
2,0.804347826086957,11,0.76087,0.82175,0.17455,0.945943929881271
2,0.804347826086957,13,0.80435,0.82081,0.18205,1
2,0.804347826086957,17,0.78261,0.81858,0.20588,0.972971964940635
2,0.804347826086957,3,0.78261,0.82652,0.06667,0.972971964940635
2,0.804347826086957,5,0.73913,0.81445,0.14,0.918915894821906
2,0.804347826086957,7,0.73913,0.81544,0.17143,0.918915894821906
2,0.804347826086957,11,0.80435,0.81833,0.20364,1
2,0.804347826086957,13,0.78261,0.81812,0.20256,0.972971964940635
2,0.804347826086957,17,0.76087,0.82073,0.20147,0.945943929881271
3,0.847826086956522,3,0.82609,0.80662,0.2,0.974358067065332
3,0.847826086956522,5,0.82609,0.82032,0.22,0.974358067065332
3,0.847826086956522,7,0.76087,0.82842,0.27619,0.897432268261326
3,0.847826086956522,11,0.76087,0.841,0.22545,0.897432268261326
3,0.847826086956522,13,0.76087,0.84137,0.24359,0.897432268261326
3,0.847826086956522,17,0.80435,0.83941,0.23382,0.948716134130663
3,0.847826086956522,3,0.82609,0.8116,0.33333,0.974358067065332
3,0.847826086956522,5,0.84783,0.82587,0.3,1
3,0.847826086956522,7,0.84783,0.82439,0.28571,1
3,0.847826086956522,11,0.86957,0.83046,0.25091,1.02564193293467
3,0.847826086956522,13,0.86957,0.8362,0.26923,1.02564193293467
3,0.847826086956522,17,0.86957,0.83314,0.26618,1.02564193293467
3,0.847826086956522,3,0.82609,0.84058,0.26667,0.974358067065332
3,0.847826086956522,5,0.78261,0.83071,0.28,0.923074201195995
3,0.847826086956522,7,0.80435,0.83358,0.25714,0.948716134130663
3,0.847826086956522,11,0.84783,0.83602,0.21818,1
3,0.847826086956522,13,0.8913,0.83527,0.22564,1.05127207105198
3,0.847826086956522,17,0.84783,0.83377,0.22941,1
3,0.847826086956522,3,0.80435,0.83114,0.26667,0.948716134130663
3,0.847826086956522,5,0.84783,0.827,0.18,1
3,0.847826086956522,7,0.84783,0.82572,0.24762,1
3,0.847826086956522,11,0.82609,0.82009,0.26182,0.974358067065332
3,0.847826086956522,13,0.82609,0.82474,0.25897,0.974358067065332
3,0.847826086956522,17,0.84783,0.82901,0.26618,1
3,0.847826086956522,3,0.78261,0.84342,0.13333,0.923074201195995
3,0.847826086956522,5,0.78261,0.84571,0.22,0.923074201195995
3,0.847826086956522,7,0.78261,0.84252,0.25714,0.923074201195995
3,0.847826086956522,11,0.84783,0.83676,0.25455,1
3,0.847826086956522,13,0.84783,0.83888,0.2641,1
3,0.847826086956522,17,0.84783,0.83355,0.23382,1
3,0.847826086956522,3,0.78261,0.82885,0.33333,0.923074201195995
3,0.847826086956522,5,0.82609,0.82554,0.26,0.974358067065332
3,0.847826086956522,7,0.84783,0.82741,0.2381,1
3,0.847826086956522,11,0.86957,0.82576,0.22182,1.02564193293467
3,0.847826086956522,13,0.84783,0.82682,0.24615,1
3,0.847826086956522,17,0.84783,0.8339,0.25,1
3,0.847826086956522,3,0.82609,0.77649,0.13333,0.974358067065332
3,0.847826086956522,5,0.82609,0.79199,0.22,0.974358067065332
3,0.847826086956522,7,0.84783,0.80013,0.2381,1
3,0.847826086956522,11,0.84783,0.8101,0.25455,1
3,0.847826086956522,13,0.82609,0.813,0.27436,0.974358067065332
3,0.847826086956522,17,0.82609,0.81921,0.27059,0.974358067065332
3,0.847826086956522,3,0.80435,0.8112,0.26667,0.948716134130663
3,0.847826086956522,5,0.73913,0.80994,0.24,0.871790335326657
3,0.847826086956522,7,0.71739,0.81778,0.22857,0.846148402391989
3,0.847826086956522,11,0.80435,0.82156,0.24,0.948716134130663
3,0.847826086956522,13,0.80435,0.82472,0.24872,0.948716134130663
3,0.847826086956522,17,0.80435,0.82743,0.25882,0.948716134130663
3,0.847826086956522,3,0.80435,0.8391,0.2,0.948716134130663
3,0.847826086956522,5,0.80435,0.84769,0.18,0.948716134130663
3,0.847826086956522,7,0.84783,0.83301,0.20952,1
3,0.847826086956522,11,0.82609,0.82747,0.19636,0.974358067065332
3,0.847826086956522,13,0.82609,0.83005,0.16923,0.974358067065332
3,0.847826086956522,17,0.80435,0.8243,0.18235,0.948716134130663
3,0.847826086956522,3,0.8913,0.81613,0.26667,1.05127207105198
3,0.847826086956522,5,0.80435,0.81345,0.2,0.948716134130663
3,0.847826086956522,7,0.82609,0.82824,0.20952,0.974358067065332
3,0.847826086956522,11,0.91304,0.82577,0.22182,1.07691400398665
3,0.847826086956522,13,0.86957,0.8212,0.21282,1.02564193293467
3,0.847826086956522,17,0.84783,0.82808,0.22353,1
4,0.847826086956522,3,0.80435,0.83928,0.26667,0.948716134130663
4,0.847826086956522,5,0.80435,0.82747,0.22,0.948716134130663
4,0.847826086956522,7,0.80435,0.81889,0.31429,0.948716134130663
4,0.847826086956522,11,0.82609,0.8184,0.29455,0.974358067065332
4,0.847826086956522,13,0.82609,0.82277,0.26923,0.974358067065332
4,0.847826086956522,17,0.80435,0.81725,0.26029,0.948716134130663
4,0.847826086956522,3,0.82609,0.80853,0.33333,0.974358067065332
4,0.847826086956522,5,0.80435,0.81041,0.3,0.948716134130663
4,0.847826086956522,7,0.82609,0.81798,0.28571,0.974358067065332
4,0.847826086956522,11,0.84783,0.82812,0.26545,1
4,0.847826086956522,13,0.84783,0.82585,0.24872,1
4,0.847826086956522,17,0.86957,0.828,0.23235,1.02564193293467
4,0.847826086956522,3,0.8913,0.78847,0.13333,1.05127207105198
4,0.847826086956522,5,0.80435,0.79661,0.12,0.948716134130663
4,0.847826086956522,7,0.82609,0.80017,0.13333,0.974358067065332
4,0.847826086956522,11,0.82609,0.80515,0.16,0.974358067065332
4,0.847826086956522,13,0.82609,0.80786,0.17436,0.974358067065332
4,0.847826086956522,17,0.84783,0.8135,0.15882,1
4,0.847826086956522,3,0.73913,0.83459,0.13333,0.871790335326657
4,0.847826086956522,5,0.78261,0.82489,0.1,0.923074201195995
4,0.847826086956522,7,0.80435,0.83012,0.19048,0.948716134130663
4,0.847826086956522,11,0.80435,0.82309,0.18909,0.948716134130663
4,0.847826086956522,13,0.84783,0.81925,0.19487,1
4,0.847826086956522,17,0.78261,0.81887,0.19559,0.923074201195995
4,0.847826086956522,3,0.84783,0.79883,0.2,1
4,0.847826086956522,5,0.84783,0.8214,0.24,1
4,0.847826086956522,7,0.82609,0.81177,0.22857,0.974358067065332
4,0.847826086956522,11,0.84783,0.81509,0.24364,1
4,0.847826086956522,13,0.8913,0.82007,0.24872,1.05127207105198
4,0.847826086956522,17,0.8913,0.81409,0.25,1.05127207105198
4,0.847826086956522,3,0.76087,0.81455,0.2,0.897432268261326
4,0.847826086956522,5,0.80435,0.81527,0.2,0.948716134130663
4,0.847826086956522,7,0.82609,0.80656,0.19048,0.974358067065332
4,0.847826086956522,11,0.84783,0.81115,0.18545,1
4,0.847826086956522,13,0.82609,0.81073,0.16923,0.974358067065332
4,0.847826086956522,17,0.86957,0.8,0.20441,1.02564193293467
4,0.847826086956522,3,0.76087,0.79886,0.26667,0.897432268261326
4,0.847826086956522,5,0.80435,0.81419,0.22,0.948716134130663
4,0.847826086956522,7,0.80435,0.816,0.22857,0.948716134130663
4,0.847826086956522,11,0.82609,0.80861,0.23273,0.974358067065332
4,0.847826086956522,13,0.82609,0.80967,0.22051,0.974358067065332
4,0.847826086956522,17,0.84783,0.81126,0.21176,1
4,0.847826086956522,3,0.80435,0.80083,0.2,0.948716134130663
4,0.847826086956522,5,0.82609,0.8235,0.22,0.974358067065332
4,0.847826086956522,7,0.82609,0.82495,0.29524,0.974358067065332
4,0.847826086956522,11,0.82609,0.82317,0.26545,0.974358067065332
4,0.847826086956522,13,0.80435,0.82694,0.24359,0.948716134130663
4,0.847826086956522,17,0.80435,0.82297,0.24118,0.948716134130663
4,0.847826086956522,3,0.76087,0.83282,0.13333,0.897432268261326
4,0.847826086956522,5,0.84783,0.84304,0.12,1
4,0.847826086956522,7,0.82609,0.82902,0.2,0.974358067065332
4,0.847826086956522,11,0.78261,0.8204,0.24,0.923074201195995
4,0.847826086956522,13,0.82609,0.81747,0.22308,0.974358067065332
4,0.847826086956522,17,0.82609,0.81393,0.21029,0.974358067065332
4,0.847826086956522,3,0.86957,0.82294,0.13333,1.02564193293467
4,0.847826086956522,5,0.86957,0.81684,0.14,1.02564193293467
4,0.847826086956522,7,0.84783,0.81634,0.14286,1
4,0.847826086956522,11,0.84783,0.80661,0.20727,1
4,0.847826086956522,13,0.82609,0.80999,0.22821,0.974358067065332
4,0.847826086956522,17,0.82609,0.8152,0.21324,0.974358067065332
5,0.804347826086957,3,0.78261,0.86226,0.26667,0.972971964940635
5,0.804347826086957,5,0.82609,0.85895,0.2,1.02702803505936
5,0.804347826086957,7,0.78261,0.85869,0.20952,0.972971964940635
5,0.804347826086957,11,0.80435,0.85218,0.18909,1
